Movie_Id,Movie_Title,Genres,Genres_id,language,popularity,release_date,runtime,status,vote_average,vote_count
107,Snatch,"Thriller,Crime",1020,English,53.595686,01/09/2000,103,Released,7.7,2912
680,Pulp Fiction,"Thriller,Crime",1020,English,121.463076,08/10/1994,154,Released,8.3,8428
302,Swimming Pool,"Thriller,Crime",1020,English,11.000654,18/05/2003,102,Released,6.4,153
70670,Headhunters,"Thriller,Crime",1020,English,20.821846,04/08/2011,100,Released,7.1,399
10077,A Sound of Thunder,"Thriller,Science Fiction,Adventure,Action",1021,English,7.342892,15/05/2005,110,Released,4.8,111
157353,Transcendence,"Thriller,Science Fiction,Drama,Mystery",1022,English,58.991388,16/04/2014,119,Released,5.9,2295
97370,Under the Skin,"Thriller,Science Fiction,Drama",1023,English,29.782161,14/03/2014,108,Released,6,1102
333371,10 Cloverfield Lane,"Thriller,Science Fiction,Drama",1023,English,53.698683,10/03/2016,103,Released,6.8,2468
869,Planet of the Apes,"Thriller,Science Fiction,Action,Adventure",1024,English,51.188633,25/07/2001,119,Released,5.6,1243
8831,Timecop,"Thriller,Science Fiction,Action,Crime",1025,English,13.308127,15/09/1994,99,Released,5.5,282
2787,Pitch Black,"Thriller,Science Fiction,Action",1026,English,18.493202,18/02/2000,108,Released,6.7,1789
782,Gattaca,"Thriller,Science Fiction,Mystery,Romance",1027,English,70.398356,07/09/1997,106,Released,7.5,1808
37686,Super 8,"Thriller,Science Fiction,Mystery",1028,English,37.069253,08/06/2011,112,Released,6.6,2435
45612,"Source,Code","Thriller,Science Fiction,Mystery",1028,English,59.19888,30/03/2011,93,Released,7.1,2699
1090,The Thirteenth Floor,"Thriller,Science Fiction,Mystery",1028,English,19.890428,16/04/1999,100,Released,6.8,378
10133,Cypher,"Thriller,Science Fiction,Mystery",1028,English,11.636883,01/10/2002,95,Released,6.7,192
431,Cube,"Thriller,Science Fiction,Mystery",1028,English,44.656151,09/09/1997,90,Released,6.9,1069
8645,The Happening,"Thriller,Science Fiction",1029,English,20.501582,11/06/2008,91,Released,4.9,950
22825,The Box,"Thriller,Science Fiction",1029,English,21.606001,17/09/2009,115,Released,5.4,597
262543,Automata,"Thriller,Science Fiction",1029,English,49.808505,09/10/2014,110,Released,5.6,670
860,WarGames,"Thriller,Science Fiction",1029,English,23.161754,03/06/1983,114,Released,7,504
242095,The Signal,"Thriller,Science Fiction",1029,English,27.662696,15/03/2014,95,Released,5.8,631
12403,A Perfect Getaway,"Thriller,Mystery,Adventure",1030,English,20.792603,08/06/2009,98,Released,6.2,351
351043,Amnesiac,"Thriller,Mystery,Drama,Horror",1031,English,3.077885,14/08/2015,90,Released,4.1,52
319910,Broken Horses,"Thriller,Mystery,Drama,Crime",1032,English,4.289676,15/03/2015,101,Released,5,10
309919,"The,Curse of Downers Grove","Thriller,Mystery,Horror,Drama",1033,English,2.00163,21/08/2015,89,Released,4.4,24
291081,Red Riding: In the Year of Our Lord 1974,"Thriller,Mystery,Crime,Drama",1034,English,7.247023,28/02/2009,102,Released,7,54
11588,The I Inside,"Thriller,Mystery,Science Fiction",1035,English,3.789485,15/01/2004,90,Released,5.9,62
34069,Cargo,"Thriller,Mystery,Science Fiction",1035,German,10.142218,24/09/2009,120,Released,5.9,140
13448,Angels & Demons,"Thriller,Mystery",1036,English,67.447636,13/05/2009,138,Released,6.5,2129
591,The Da Vinci Code,"Thriller,Mystery",1036,English,45.313197,17/05/2006,149,Released,6.5,2704
11439,The Ghost Writer,"Thriller,Mystery",1036,English,21.118196,12/02/2010,128,Released,6.7,670
1586,Secret Window,"Thriller,Mystery",1036,English,32.908414,12/03/2004,96,Released,6.4,972
328425,The Gift,"Thriller,Mystery",1036,English,27.247013,30/07/2015,108,Released,6.7,1049
343409,Windsor Drive,"Thriller,Mystery",1036,English,0.504251,26/06/2015,90,Released,2,1
181940,Carousel of Revenge,"Thriller,Mystery",1036,English,0.006069,20/07/2007,103,Released,0,0
29917,Exam,"Thriller,Mystery",1036,English,20.265518,19/06/2009,101,Released,6.6,523
14048,Man on Wire,"Thriller,Documentary,Crime,History",1037,English,14.331992,25/07/2008,94,Released,7.5,275
11258,Hard Rain,Thriller,1038,English,10.930537,16/01/1998,97,Released,5.5,179
12103,Don't Say a Word,Thriller,1038,English,11.596207,28/09/2001,113,Released,6,220
9754,Firewall,Thriller,1038,English,18.186026,10/02/2006,105,Released,5.6,267
